表記,読み,出やすさ,英訳
# 格闘ゲーム用の単語セット（サンプル・12語）。単語スタジオ →「📥 ファイルから取り込む」
# 漢字の技名は「読み」をひらがなで書く（読みで認識を誘導し、表記へ置換する）
# カタカナの技名は読みを空欄でよい（認識がそのままカタカナで出るため表記＝読み）
# 言い方がぶれる語は「／」区切りで並記（例: しょうりゅうけん／しょうりゅけん）
波動拳,はどうけん,,Hadoken
昇龍拳,しょうりゅうけん／しょうりゅけん,,Shoryuken
竜巻旋風脚,たつまきせんぷうきゃく,,Tatsumaki Senpukyaku
真空波動拳,しんくうはどうけん,,Shinku Hadoken
ソニックブーム,,,Sonic Boom
サマーソルトキック,,,Somersault Kick
スピニングバードキック,,,Spinning Bird Kick
スクリューパイルドライバー,,,Screw Piledriver
ドライブインパクト,,,Drive Impact
ドライブラッシュ,,,Drive Rush
オーバードライブ,,,Overdrive
クリティカルアーツ,,,Critical Art
